clip_id,sura,aya,nickname,uthmani,expected_phonemes,error_code,error_category,target,instruction,has_error
103_001_t01,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 1 of 5).,0
103_001_t02,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 2 of 5).,0
103_001_t03,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 3 of 5).,0
103_001_t04,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 4 of 5).,0
103_001_t05,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,OK,none,-,Recite CORRECTLY. Vary your volume/pace slightly from your other correct takes (take 5 of 5).,0
103_001_t06,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,SUB_AYN_HAMZA,substitution,ع in وَٱلْعَصْرِ,Read ع as a plain hamza ء (the classic Slavic/Turkic collapse). TARGET: ع in وَٱلْعَصْرِ. Everything else must be CORRECT.,1
103_001_t07,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,SUB_AYN_HAMZA,substitution,ع in وَٱلْعَصْرِ,Read ع as a plain hamza ء (the classic Slavic/Turkic collapse). TARGET: ع in وَٱلْعَصْرِ. Everything else must be CORRECT.,1
103_001_t08,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,SUB_SAD_SEEN,substitution,ص in وَٱلْعَصْرِ,Read ص as plain س (Russian с) - lose the emphasis entirely. TARGET: ص in وَٱلْعَصْرِ. Everything else must be CORRECT.,1
103_001_t09,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,SUB_SAD_SEEN,substitution,ص in وَٱلْعَصْرِ,Read ص as plain س (Russian с) - lose the emphasis entirely. TARGET: ص in وَٱلْعَصْرِ. Everything else must be CORRECT.,1
103_001_t10,103,1,al-Asr 1,وَٱلْعَصْرِ,وَلعَصر,TAFKHIM_LOSS,sifa,ص in وَٱلْعَصْرِ,Keep the correct letter but read it light (muraqqaq) - no tongue raising. TARGET: ص in وَٱلْعَصْرِ. Everything else must be CORRECT.,1
